BBA & BS (A&F),"Rs. 8,500","Rs. 7,500",N/A
BS (Computing),"Rs. 8,500","Rs. 8,000","Rs. 7,500"
BS (Engineering),"Rs. 8,500","Rs. 7,500","Rs. 7,500"
MBA/MS,"Rs. 8,000","Rs. 8,000","Rs. 8,000"
PhD,"Rs. 8,000","Rs. 8,000","Rs. 8,000"
