Doctor of Veterinary Medicine,Morning,"Rs. 25,000","Rs. 140,000 + WHT * (Per Semester)",Rs. 250,5 Year
Doctor of Veterinary Medicine,Evening,"Rs. 25,000","Rs. 175,000 + WHT (Per Semester)",Rs. 250,"Rs. 100,000 **",5 Year
Livestock Assistant Diploma,"Rs. 60,000 (Annual Fee)",Rs. 250,2 Year
Artificial Insemination Technician,"Rs. 60,000",Rs. 250,6 months
